SUPPLIER,TYPE,DESCRIPTION,PARTNUMBER,PRICE,NOTES
Ian Salsbury,Legend,Just plain smarty pants,,999,Cant put  prie on this
TYCO,FREIGHT,TYCO FREIGHT,,30,C:\Users\visal\OneDrive\Work Files\Manuals\Vigilant Documentation\FY19 JCI ExternalFire Detection Price Book (V3A).pdf
TYCO,FREIGHT,OVERNIGHT EXPRESS,,140,
TYCO,SM/HT,MX 850PH MULTI SENSOR SMOKE AND HEAT DETECTOR,516.850.051.E,112.5,
TYCO,SM,MX 850P SMOKE DETECTOR,516.850.052.E,49.5,
TYCO,HT,MX 850H HEAT DETECTOR,516.850.053.E,65.34,
TYCO,BASE,SOUNDER ADJUSTMENT TOOL,517.050.015,9.4,TOOL TO ADJUST SOUNDER BASE VOLUME
TYCO,BASE,4B DETECTOR BASE GEN 6,517.050.041,7.8,600 or 800 series MX4428 or MX1
TYCO,BASE,4B-C CONTINUITY BASE,517.050.042,7.88,800 series on MX1
TYCO,BASE,4BI SHORT CIRCUIT ISOLATOR BASE,517.050.043,47.53,800 series on MX4428
TYCO,BASE,4B-DHM DECKHEAD MOUNTING,517.050.051,29.44,
TYCO,BASE,80DSB NON-ADDRESSABLE MX SOUNDER BASE,576.080.001,81.63,"LOOP POWERED, LOGIC DRIVEN - USE ON MX4428 OR MX1"
TYCO,SM,614P CONVENTIONAL SMOKE DETECTOR,516.600.301,57,
TYCO,HT,614 HEAT DETECTOR TYPE A NORM TEMP FIXED/ROR (614TA),4098-9637EA,48,
TYCO,HT,614 HEAT DETECTOR TYPE B NORM TEMP FIXED (614TB),4098-9638EA,48,
TYCO,HT,614 HEAT DETECTOR TYPE C,4098-9639EA,48,
TYCO,HT,614 HEAT DETECTOR TYPE D,4098-9640EA,48,
TYCO,HT,885WP-B IP67 HEAT DETECTOR,885WP-B,106.92,ENCAPSULATED TYPE B HEAT
TYCO,MODULE,RIM800 MX RELAY INTERFACE MODULE,RIM800,79.56,
TYCO,MODULE,MIM800 MINI INPUT MODULE,MIM800,90,
TYCO,MODULE,MIO800 MULTI INPUT OUTPUT MODULE,555.800.065,157.5,
TYCO,MODULE,QRM850 QUAD RELAY MODULE,555.800.073,147.5,MX1 ONLY - NOT COMPATIBLE WITH MX4428
TYCO,MODULE,QIO850 QUAD I/O MODULE,555.800.071,195,
TYCO,MODULE,DIN RAIL MOUNTING KIT,557.201.303,33.76,"LARGER FORMAT MOUNTING BRACKET MIO, QRM QIO"
TYCO,MODULE,DUAL DETECTOR MODULE (DDM800),577.800.006,108.58,LOOP POWERED - DIN RAIL MOUNTING BRACKET TO MOUNT 
TYCO,MODULE,LIM800 LINE ISOLATOR MODULE,545.800.004,41.25,
TYCO,MODULE,DIN RAIL MOUNTING BRACKET,547.004.002,45.36,"SINGLE MODULE EG RIM800, DDM800, LIM800"
TYCO,MODULE,MX MODULE COVER,517.035.007,7.38,"BOTH TOGERTHER TO FORM A BACKING BOX AND MODULE COVER, MOUNT INTERNALLY IF NOT WANTING TO HAVE EXPOSED COMPONENTS"
TYCO,MODULE,DOUBLE GANG BACK BOX,517.035.010,5.77,
TYCO,MODULE,D800 IP55 MX MODULE ENCLOSURE,557.201.401,74.97,(HWD) 140 MM X 120 MM X 70 MM
TYCO,MODULE,EMPTY METAL ADR/MPR BOX C/W LABELS,FP0529,62.43,EMPTY RESPONDER BOX
TYCO,MODULE,F3200 CARDFRAME UPGRADE KIT,KT0072,195.54,
TYCO,MODULE,MX1 LOOP CARD / MX MODULE MOUNTING ,FP1027,33.01,"2 STANDARD MODULES (RIM, LIM ETC). 1 LARGE MODULE (MIO, LOOP)"
TYCO,MODULE,PCB STANDOFF 7.7MM DOUBLE BARB PCB (PKT 100) ,HW0052-100,48.96,PCB STAND OFF FITTED FROM FRONT OF GEAR PLATE
TYCO,ANC,13MM PLASTIC PCB STAND-OFF,X1 HW0130,0.47,PCB STAND OFF FITTED FROM REAR OF MOUNTING PLATE
TYCO,MODULE,SAB801 SOUNDER ADDRESSABLE BEACON,516.800.956,61.88,
TYCO,ANC,TGEN/QE90 MIC,ME0290,83.31,
TYCO,ANC,BELL MONITOR,PAO494,93.08,
TYCO,ANC,FIRE STROBE AND BACK BOX,40020B,98.34," BEING PHASED OUT - USE INCITE BEACON-R, DEEP BASE AND FIRE LABEL"
TYCO,ANC,STROBE RED AX-35 IP55,EA0302,121.91,
TYCO,ANC,DUAL STROBE (RED/AMBER) C/W SURFACE MOUNTING BASE 24 VOLT,EA0313,116.26,
TYCO,ANC,SOUNDER / BEACON XENON SHALLOW BASE IP54,576.501.224,108.94,
TYCO,ANC,MX ADDRESS FLAGS X 100,516.800.915,276.16,
TYCO,ANC,ADDRESS FLAGS LOOP A WHITE,516.800.931,11.91,
TYCO,MCP,MX ADDRESSABLE MCP CP820,514.800.611,112.68,
TYCO,MCP,KAC TRANSPARENT HINGED MCP COVER,SU0615,5.83,
TYCO,MCP,KAC CONVENTIONAL MCP RED,SU0631,14.38,NO BACK BOX SUPPLIED
TYCO,MCP,KAC BACKBOX MCP RED,SU0632,2.75,
TYCO,MCP,KAC MCP - IP67 WEATHERPROOF / SPECIAL ENVIRONMENT ,SU0634,173.55,
TYCO,MCP,MCP SPARE GLASS (PKT 5),515.001.025,28.4,
TYCO,MCP,KAC FLEXIBLE PLASTIC ELEMENT MCP,515.001.127,2.45,
TYCO,MCP,MCP SPARE TEST KEY (PKT 10),SC070,9.7,
TYCO,REMOTE,ROUND REMOTE INDICATORS (IN ROOM),E523,8.67,
TYCO,REMOTE,ROUND REMOTE INDICATORS (IN DUCT),E525,11.5,
TYCO,REMOTE,ROUND REMOTE INDICATORS (IN ROOF),E526,11.5,
TYCO,REMOTE,ROUND REMOTE INDICATORS (IN CUPBOARD),E529,11.5,
TYCO,REMOTE,"LATCHING REMOTE ""FIRE ALARM IN ROOM""",E573,71.93,
TYCO,REMOTE,"LATCHING REMOTE ""FIRE ALARM IN DUCT""",E575,71.93,LATCHING REMOTE INDICATOR FOR USE WITH T54B PROBE TYPE FIRE DETECTOR
TYCO,HT,T54B HEAT DETECTOR - 90°C,T4E90X,133.87,HIGH TEMP HEAT PROBE
TYCO,SPKR,SPEAKER ONE SHOT 100V LINE SPEAKER,EA0036,27.01,7240 ONE SHOT SPEAKER
TYCO,SPKR,SPEAKER ONE SHOT 100 MM SURFACE MOUNT,EA0009,41.48,BEST OPTION FOR SURFACE MOUNT
TYCO,SPKR,10W PLASTIC HORN SPEAKER IP66 (C2053) SMALL INCL CAPACITOR,EA0013,39.15,
TYCO,SPKR,SPEAKER HORN MOUNTING ACCESSORY (WURLI-GIG),C2052,10.18,
TYCO,ANC,WIP PHONE VIGILANT,FP0938,52.5,
TYCO,MDH,DOOR HOLDER RELEASE,EA0405,37.5,
TYCO,MDH,ELECTROMAGNETIC DOOR HOLDER 150 MM STRAIGHT,EA0407,167.52,230 MM TOTAL STAND OFF LENGTH FROM BASE PLATE TO ANVIL
TYCO,MDH,ELECTROMAGNETIC DOOR HOLDER 300 MM STRAIGHT,EA0408,169.58,
TYCO,MDH,ELECTROMAGNETIC DOOR HOLDER,FP0101,84,"WALL MOUNT, MOUNT ON SOLID SINGLE GANG MOUNTING BOX"
TYCO,MDH,30° ANVIL (KEEPER PLATE),17295/30,51.25,
TYCO,ANC,REPLACEMENT MX1 LCD MODULE KIT,FP0913 ,289.25,REPAIRS CORRUPT / RANDOM CHARACTERS ON SCREEN
TYCO,ANC,QE90 EVAC CONTROL PANEL 3WIP/ZONE PCB ASSY ECP9702-2 ,PA0643,1420.49,REPLACEMENT ECP CIRCUIT BOARD
TYCO,ANC,PCB ASSY 1901-213 MX4428 RESPONDER,PA0893,749.87,
TYCO,ANC,MXP RESPONDER IN BOX,FP0824,673.48,
TYCO,ANC,"MX1 CONTROLLER ENHANCED, PCB ASSY1982-2",PA1081,901.22,REPLACES PA1011 EARLY VERSION CONTROLLER THAT CANT TAKE 850 SERIES
TYCO,FIP,"F3200 FIP 8 ZONES FITTED, SMALL CABINET, 3A MAF/PSU ",FP0784,1437.14,DIMENSIONS 440 x 550 x 211 MM (HWD)
TYCO,ANC,F3200 EMPTY BATTERY BOX,FP0576,461.89,DIMENSIONS 440 x 550 x 211 MM (HWD)
TYCO,ANC,"T-GEN2 GRADE 3 EWS UI 3U DOOR, C/W T-GEN60 LOOM & MIC, GREY",FP1121,693.36,
TYCO,ANC,"T-GEN2 60W 100V AMPLIFIER, C/W INSTALL LIT & MTG",FP1115,318.86,"AMPLIFIER ONLY, NO SWING DOOR METAL WORK"
TYCO,ANC,"T-GEN2 WAY SPLITTER MODULE, 100V 120W C/W LIT",FP1118,156.82,SPLITTER MODULE
TYCO,ANC,"T-GEN2 GRADE 3 EWS UI DOOR, C/W LOOM & MIC, GREY",FP1122,382.56,CONTROLS AND METAL WORK
TYCO,ANC,"QE90 MECH ASSY, ECP + 2Z KEYBD, 3WIP/Z INNER DOOR & KEYPAD ONLY (>21U)",ME0381,359.17,"KEYPAD MYLAR AND METAL WORK ONLY, NO PCB, "
TYCO,ANC,"QE90 AUTO/MAN/ISOL KEYSWITCH (INCL LOOM, CONNECTOR, SW0018)",ME0297,78.96,
TYCO,ANC,KEYSWITCH ONLY-NO LOOM (INCL 003 KEYS),SW0018,56.07,SUITABLE FOR TGEN
TYCO,ANC,"MECH ASSY, 1966-21, PSU2406, QE90, 2U RACK MOUNT",ME0331,1309.32,5 AMP QE90 RACK MOUNT POWER SUPPLY - 1 BREAKER ONLY
TYCO,ANC,MX4428 24VDC 5A POWER SUPPLY,ME0476,655.98,REPLACEMENT POWER SUPPLY FOR MX4428
TYCO,ANC,"MX4428 MAIN BOARD C/W MEM/LCD I/F, S/W, 1901-1",PA1040S,2020,"4428 MAIN TERMINATION BOARD INCLUDING MEM, ETC STAND OFF BOARD"
TYCO,ANC,F3200 AS4428 4U HINGED CONTROL PANEL 1931-15-1,ME0098,1654.77,"REPLACEMENT CONTROLLER FOR 3200, INCLUDES HINGED DOOR"
TYCO,FIP,FP MX1 AUST VIGILANT 15U PANEL 3U AIU/PPU BRACKET ,FP098,1943,PRICE MAY VARY DEPENDING ON VOLUME
TYCO,ANC,PCB 1901-198 ADR-M 4mA15V MCP,PA0815,321,ADRM MX4428 
TYCO,ANC,PCB Assy 1901-15 RRM,PA0453,205.32,RESPONDER RELAY MODULE - ADD ON TO ADRM
TYCO,ANC,MX4428 ADR-M 4mA DETECTOR CURRENT 1901-116 ,FP0755,351.62,ADRM MX4428 IN RESPONDER BOX
TYCO,ANC,MX4428/F4000 CABLE PROGRAMMING PORT TO DB9F SERIAL 1888-58,LM0041,75.43,PROGRAMMING LEAD 
TYCO,ANC,D51B FILTER BOX OF 10,D51F,153.38,
TYCO,ANC,BAFFLE- BOX OF 10 FOR D51 D/H,D51L,110.12,
TYCO,ANC,200MM MOTORISED BELL,BELL01,82.73,
TYCO,ANC,BELL BACK BOX RED,BELL02,16.88,
TYCO,EWIS,"PCB ASSY,QE90 STRM9502 STROBE/RELAY MODULE (DIN RAIL)",FP1070,943.74,REPLACEMENT STROBE CARD ONLY
TYCO,EWIS,"PCB ASY, QE90 WTRM2000, WIP TERMINATION (DIN)",PA0916,462.25,"REPLACEMENT WIP CARD ONLY - OLD MODEL, GO WITH FP1073 UPGRADE KIT"
TYCO,EWIS,QE90 WIP SLAVE(WIPS2017) + TERM BOARD UPGRADE KIT,FP1073,1045.93,UPGRADE KIT FOR REDUNDANT WTRM2000 WIP TEMINATION BOARD
TYCO,EWIS,PA0650 QE90 4x10W / 2x25W AMPLIFIER CARD EAMP9001,PA0650,1023.67,
TYCO,EWIS,PA0758 QE90 MULTIPLEXER 16 SEC SPEECH EMUX9601 (REPLACES PA0654),PA0758,777.6,
TYCO,EWIS,"LOOM, 1922-26 RZDU RS242 - ECP HIGH LEVEL LINK, 2.9M",LM0077,95.41,HIGH LEVEL FROM RZDU TO SE9004
TYCO,EWIS,QE90 SIGNAL INTERFACE PCB ASSY (DIN) SE9004,PA0657,164.38,SE9004 BOARD
NOTIFIER,FREIGHT,NOTIFIER FREIGHT,,20,
NOTIFIER,HT,TYPE A ADDRESSABLE,FST-851RAUS-IV,70,
NOTIFIER,HT,TYPE B ADDRESSABLE,FST-851AUS-IV,70,
NOTIFIER,SM,PHOTOELECTRIC SMOKE DETECTOR ,FSP-851AUS-IV,67.5,
NOTIFIER,SM/HT,ACCLIMATE MULTI CRITERIA SENSOR,FAPT-851AUS-IV,90,
NOTIFIER,SM,"Flashscan photoelectric smoke sensor, Ivory",FSP-951AUS-IV,68.21,
NOTIFIER,HT,"Intelligent Fixed temperature thermal detector, FlashScan® , Ivory",FST-951AUS-IV,68.21,
NOTIFIER,HT,"Intelligent Rate-of-Rise thermal detector, FlashScan® , Ivory",FST-951RAUS-IV,68.21,
NOTIFIER,HT,"Intelligent High temperature thermal detector, FlashScan® , Ivory",FST-951HAUS-IV,71.75,
NOTIFIER,BASE,DETECTOR BASE ADDRESSABLE IVORY,B501AUS-IV,9.35,
NOTIFIER,BASE,ISOLATOR BASE,B524IEFT,27,
NOTIFIER,SMK,SYSTEM SENSOR CONVENTIONAL SMOKE,2151BAUS,49.5,
NOTIFIER,HT,"CONVENTIONAL THERMAL DETECTOR, RATE OF RISE, 63DEG, SYSTEM SENSOR, TYPE A",5151RAUS,30,
NOTIFIER,HT,"CONVENTIONAL THERMAL DETECTOR, FIXED TEMP, 63DEG, SYSTEM SENSOR, TYPE B",5151AUS,30,
NOTIFIER,BASE,S/S CONVT BASE,B401,8.1,
NOTIFIER,BASE,DETECTOR BASE SOUNDER - OFF WHITE,FS-BSO,80,
NOTIFIER,HT,FLSAHSCAN SEALED ROR THERMAL SENSOR ,FST-851R-WP,100,
NOTIFIER,ANC,WALL MOUNT SOUNDER & STROBE - RED,FS -WSS,150,LOOP POWERED
NOTIFIER,ANC,WALL MOUNT SOUNDER - WHITE,FS -WSO,100,LOOP POWERED
NOTIFIER,ANC,RED FIRE STROBE,SRHKRLFIRE,105,
NOTIFIER,MCP,FLASHSCAN INDOOR RED MCP,NFX-MCP-GLASS,113.5,
NOTIFIER,MCP,WEATHERPROOF CONVENTIONAL MCP,WCP3A-R ,108,
NOTIFIER,MCP,SR - MCP SURFACE MOUNT BOX,SR,3.6,
NOTIFIER,MCP,CLEAR FLAP MCP,PS200,10,
NOTIFIER,MCP,FLEXIBLE MCP ELEMENT,PS210,3.5,
NOTIFIER,MCP,SPARE MCP GLASS PK (10) COMMON TO ALL MCP'S,SG-1X10,40,
NOTIFIER,ANC,DUCT DETECTOR HOUSING,DNR-AUS,135,
NOTIFIER,ANC,IFS-713C - AFP-2800/CPU (NOTIFIER),AFP-2800/CPU,720,
NOTIFIER,ANC,LCD-80,,750,
NOTIFIER,ANC,FIM MAIN TERMINATION BOARD,FIM,750,
NOTIFIER,MODULE,XP6-MA CONVENTIONAL ZONE INTERFACE MODULE - 6 ZONES,FG-05-032,355.5,
NOTIFIER,MODULE,FMM-101 SINGLE SWITCH INPUT MINI-MODULE,FG-05-026,67.5,
NOTIFIER,MODULE,FLASHSCAN DUAL UNPUT/OUTPUT MODULE,FDMR-1,192.1,
NOTIFIER,SPKR,ONE SHOT SPEAKER,SP-100,28.47,
NOTIFIER,SPKR,ONE SHOT SPEAKER,L-VCP06D-W ,30,7240 ONE SHOT SPEAKER
NOTIFIER,SPKR,HORN SPEAKER,SPH-15,47,
NOTIFIER,ANC,WIP PHONE VIGILANT,FP0938,72,"ALL QE90 WIPS ARE THE SAME (MASTER AND FIELD), CHEAPER FROM TYCO"
NOTIFIER,ANC,2800 UPLOAD / DOWNLOAD DB9 CABLE,UDC/OO,15,
NOTIFIER,REMOTE,"REMOTE INDICATOR ""IN ROOF""",RI-ROOF,9,
NOTIFIER,REMOTE,"REMOTE INDICATOR ""IN CONCEALED SPACE""",RI-CON,9,
NOTIFIER,REMOTE,"REMOTE INDICATOR ""IN ROOM""",RI-ROOM,9,
NOTIFIER,REMOTE,"REMOTE INDICATOR ""IN CUPBOARD""",FG-01-044,9,
NOTIFIER,REMOTE,"REMOTE INDICATOR ""IN DUCT""",FG-01-045,9,
NOTIFIER,ANC,ARE INTERFACE BOARD ASSEMBLY,ARE,165,BRIGADE BOARD FOR CFP-16
NOTIFIER,ANC,REDBACK MICROPHONE,CB-MIC,50,
NOTIFIER,ANC,POWER DISTRIBUTION MODULE & METAL WORK,PDM,155,
NOTIFIER,ANC,NPS-5S - 5.6A STAND-ALONE PSU ON SLIM-LINE CHASSIS,NPS-5S,450,SLIMLINE STAND ALONE 5.6 AMP
NOTIFIER,ANC,NPS-11S - 11.7A STAND ALONE PSU ON SLIM-LINE CHASSIS,NPS-11S,585,SLIMLINE STAND ALONE 11.7 AMP
NOTIFIER,ANC,PDM - POWER DISTRIBUTION MODULE,PDM,135,
NOTIFIER,ANC,CHS-1L LOW PROFILE CHASSIS,CHS-1L,20,MOUNTING PLATE FOR PDM
NOTIFIER,ANC,18U BATTERY BOX FOR 2800,MA-01-024,1000,610W X 286D X 443H
NOTIFIER,ANC,ACF ISO SWITCH,ACF-SW ,65,ILLUMINATED SWITCH TO PROGRAM TO AN AZF INPUT ON MAIN BOARD OR MINI INPUT MODULE.
NOTIFIER,ANC,LOW SPEED WIRE NETWORK CARD ,NCM-W,750,
NOTIFIER,ANC,VESDA FILTER CARTRIDGE,VSP-005,77.91,SINGLE ITEM
NOTIFIER,ANC,VESDA E-FILTER CARTRIDGE,VSP-962,95,SINGLE VESDA E FILTER
NOTIFIER,ANC,LOOP ISOLATOR,M700-X,85,
NOTIFIER,ANC,DIN CLIP,DIN CLIP,4,MOUNT FOR LOOP ISOLATOR
NOTIFIER,ANC,2800 8 WAY PROGRAMMABLE RELAY BOARD,RLY8,150,
NOTIFIER,ANC,FMM-1 SINGLE SWITCH INPUT MODULE,FMM-1,80,
NOTIFIER,ANC,TYPE B SEALED THERMAL - OFF WHITE,885WP-B,85,
NOTIFIER,ANC,Wet Base Shroud - Ivory suits  addressable & conventional sensors,WB-1AP-IV,30,NOTIFIER DECKHEAD
NOTIFIER,ANC,LCD-80 LIQUID CRYDTAL DISPLAY FOR 2800,LCD80AU,716.04,
AMPAC,FREIGHT,AMPAC FREIGHT,,35,
AMPAC,SM,SERIES 65 OPTICAL SMOKE DETECTOR,4106-1001,90,
AMPAC,HT,SERIES 65 A1R HEAT DETECTOR,4106-1004,41,
AMPAC,HT,SERIES 65 BR HEAT DETECTOR,4106-1005,41,
AMPAC,HT,SERIES 65 CR HEAT DETECTOR,4106-1006,41,
AMPAC,HT,SERIES 65 CS HEAT DETECTOR,4106-1007,41,
AMPAC,BASE,STANDARD BASE,4106-1008,15,CONVENTIONAL
AMPAC,SM,XP95 OPTICAL SMOKE DETECTOR,4106-2001,105,
AMPAC,HT,XP95 HEAT DETECTOR A2S,4106-2003,105,
AMPAC,SM/HT,DISCOVERY OPTICAL / HEAT MULTISENOR DETECTOR,4106-2008,171,
AMPAC,SM/HT,DISCOVERY CO / HEAT MULTISENSOR DETECTOR,4106-2009,213,
AMPAC,BASE,XP95/DISCOVERY DETECTOR BASE WITH XPERT CARD,201-0004,18,
AMPAC,BASE,XPERT CARD,201-0095,4,
AMPAC,BASE,XP95/DISCOVERY ISOLATING BASE WITH XPERT CARD,201-0125,96,
AMPAC,BASE,XP95/DISCOVERY LOW POWER RELAY BASE WITH XPERT CARD,201-0014,58,
AMPAC,BASE,XP95 ADDRESSABLE INTEGRATED BASE SOUNDER,4107-4001,105,
AMPAC,BASE,DIN RAIL ISOLATOR,201-0145,233,DUAL DIN RAIL SHORT CIRCUIT ISOLATOR
AMPAC,MCP,INTELLIGENT MANUAL CALL POINT RED INDOOR USE,4105-2005,160,
AMPAC,MCP,TRANSPARENT COVERS FOR MCPS,4105-2003,19,
AMPAC,MCP,XP95 WATERPROOF MANUAL CALL POINT WITH ISOLATOR (RED),4105-2002,439,WATERPROOF XP95 MCP
AMPAC,MCP,DISCOVERY WATERPROOF MANUAL CALL POINT - RED (KAC),213-0066,439,WATERPROOF DISCOVERY MCP
AMPAC,MDH,REMOTE DOOR RELEASE PLATE VERTICAL SCREEN,268-0003,40,
AMPAC,ANC,DECKHEAD MOUNTING BOX,201-0193,54,
AMPAC,MODULE,SINGLE I/O DEVICE DIN MOUNT,4210-0050,140,
AMPAC,MODULE,SINGLE I/O DEVICE ENCLOSED,4210-0051 ,148,
AMPAC,MODULE,SINGLE INPUT DEVICE DIN MOUNT,4210-0052,106,INPUT ONLY
AMPAC,MODULE,SINGLE INPUT DEVICE ENCLOSED,4210-0053,124,INPUT ONLY
AMPAC,MODULE,THREE I/O DEVICE DIN MOUNT,4210-0054,333,
AMPAC,MODULE,THREE I/O DEVICE ENCLOSED,4210-0055,348,
AMPAC,MODULE,THREE INPUT DEVICE DIN MOUNT,4210-0056,307,INPUT ONLY
AMPAC,MODULE,THREE INPUT DEVICE ENCLOSED,4210-0057,318,INPUT ONLY
AMPAC,MODULE,8 WAY SWITCH & INDICATOR MODULE,4310-0030-CSO,331,
AMPAC,ANC,DUCT SAMPLING UNIT INCL XP95 DETECTOR BASE,214-0051,221,
AMPAC,SPKR,SPEAKER GRILL 100MM LOW PROFILE,218-0003,3,COMBINE WITH 218-0008
AMPAC,SPKR,CEILING SPEAKER 100MM 100V 5W,218-0008,23,COMBINE WITH 218-0003
AMPAC,ANC,WAGNER FILTER PACK,AD10-0335,139,
AMPAC,ANC,EV3000 KEY SWITCH ASSEMBLY,,91,
AMPAC,ANC,EV3000 COMMON CONTROL BOARD,302-479B,1392,"MASTER CONTROL PANEL ON 29U WIRING DETAILS PDF, INCLUDES KEY SWITCH"
AMPAC,ANC,1 WAY 1A 2C/O 24V RLY BRD CW FRONT LED,302-7631,77,COMMON FAULT RELAY FOR EV300
AMPAC,ANC,WARDEN INTERCOM PHONE (2 WIRE S004 SLAVE),219-0015,129,
AMPAC,ANC,WARDEN INTERCOM PHONE (3 WIRE),219-0007,241,API614A
AMPAC,ANC,WIP ENCLOSURE METAL SURFACE  MOUNTED,291-0054,397,
AMPAC,ANC,FF LOOP TERMINATION BOARD 500 mA CSO KIT,8510-0001,650,LOOP CARD ONLY
AMPAC,ANC,FIRE BRIGADE BOARD (ZONE SENSE PLUS 8 ZONE),4310-0070-CSO,83,
AMPAC,ANC,BELL 200MM 24V DC RED,206-0001,69,
AMPAC,ANC,BELL BACK BOX,206-0006,25,
AMPAC,ANC,VANTAGE SOUNDER / BEACON FIRE LEGEND PLATE,4210-0048,31,WHITE 3MM PLATE TO MOUNT BEHIND MCP'S
AMPAC,PSU,5 AMP 27.6VDC PSU MODULE,4510-9005,510,STAND ALONE NO ENCLOSURE
AMPAC,ANC,MAF (FIREFINDER),341-0003,2184,NOT FF+
AMPAC,ANC,FIREFINDER SP8X ANCILLARY CABINET,8510-9010,263,418H x 515W x 170D
AMPAC,REMOTE,"REMOTE INDICATOR ""FIRE ALARM IN CONCEALED SPACE""",209-0004,12,
AMPAC,REMOTE,"REMOTE INDICATOR ""FIRE ALARM IN ROOM""",209-0006,12,
AMPAC,REMOTE,"REMOTE INDICATOR ""FIRE ALARM IN LIFT""",209-0024,12,
AMPAC,ANC,24V STROBE LIGHT COMBINED RED / AMBER,208-0011,147,
AMPAC,SPKR,HORN SPEAKER - 10 WATT,218-0053,80,
AMPAC,SPKR,GREY 10W HORN SPEAKER AS7240-24,4113-1020,80,"7240 HORN SPEAKER, NOT PREFFERRED"
AMPAC,ANC,XP95 LOOP POWERED BEACON,201-0118,152,
AMPAC,ANC,SP1X/M FIREFINDER PLUS BATTERY CABINET,4210-0040,232,
AMPAC,ANC,HCI BOARD,8610-0009,324,
AMPAC,ANC,FIRE FAN INDICATOR MODULE ,4310-0071,492,CONTROLS ONLY
AMPAC,ANC,OWS 50W AMPLIFIER,6010-001-CSO,799,50 WATT AMPLIFIER
AMPAC,ANC,6 AMP 27 VOLT AND 8 VOLT POWER SUPPLY EV3000,330-0007,2262,EV300 CHARGER
AMPAC,ANC,EV3000 MYLAR MEMBRANE,,198,
AMPAC,ANC,EV3000 EWS Master Switch Brd  ,302-4801,942,
INCITE,FREIGHT,INCITE FREIGHT,,20,
INCITE,HT,DCD-A HOCHIKI TYPE A THERMAL DETECTOR,DCD-A,28.69,
INCITE,HT,DFJ-60B HOCHIKI TYPE B THERMAL DETECTOR,DFJ-60B,29.83,
INCITE,HT,DCD-C HOCHIKI TYPE C THERMAL DETECTOR,DCD-C,30.7,
INCITE,HT,DFJ-90D HOCHIKI TYPE D THERMAL DETECTOR,DFJ-90D,29.83,
INCITE,BASE,YBO-R/4 HOCHIKI 24V CONVENTIONAL BASE (WITH REMOTE O/P),YBO-R/4,15.73,WITH REMOTE O/P
INCITE,BASE,YBN-R/4C HOCHIKI 24V CONVENTIONAL PLAIN BASE,YBN-R/4C,9.47,NO REMOTE O/P
INCITE,SM,HOCHIKI CONVENTIONAL SMOKE DETECTOR,SLV-AS,59.5,
INCITE,SM,HOCHIKI ANALOGUE PHOTO OPTICAL SMOKE DETECTOR WHITE,ALN-ASN,50.49,NEW ANALOGUE DETECTOR - COMPATIBLE WITH YBN-R-3(WHT)
INCITE,SM,HOCHIKI ANALOGUE ADDRESSABLE SMOKE DETECTOR WHITE,ALK-ASN,50.49,REDUNDANT - USE ALN-ASN
INCITE,BASE,HOCHIKI ANALOGUE BASE WHITE,YBN-R-3(WHT),11,COMPATIBLE WITH ALN-ASN
INCITE,SM,HOCHIKI ANALOGUE ADDRESSABLE SMOKE DETECTOR IVORY,ALK-AS,100.3,
INCITE,BASE,HOCHIKI ANALOGUE BASE IVORY,YBN-R-2NA,12.75,
INCITE,HT,HOCHIKI ANALOGUE SEALED TYPE ADDRESSABLE THERMAL,ACB-ASNW,88.4,
INCITE,HT,HOCHIKI MULTI-THERMAL DETECTOR,ACB-AS,100.3,"POORLY DESCRIBED, NOT A MULTI SENSOR - SUPERSEDED BUT STILL AVAILABLE 05/23"
INCITE,HT,HOCHIKI MULTI-THERMAL DETECTOR WHITE,ATJ-ASN,50.49,REQURES HOCHIKI ANALOGUE BASE WHITE - YBN-R-3(WHT)
INCITE,MCP,HOCHIKI ADDRESSABLE MANUAL CALL POINT,HCP-E-ADD,100,
INCITE,MCP,HINGED COVER,KAC-FLAP,11.58,
INCITE,MCP,WEATHERPROOF CONVENTIONAL CALL POINT - RED,KAC-RED-WP,193.8,
INCITE,LABEL,Local Fire Alarm only. Dial 000 (80x25mm),LABEL-001,7.7,
INCITE,LABEL,Local Alarm Only-In case of Fire Break Glass (70x50mm),LABEL-002,7.7,
INCITE,HT,DFG-60BLKJ(AS) HOCHIKI SEALED TYPE B THERMAL,DFG-60BLKJ(AS),74.66,
INCITE,ANC,COMBINED SOUNDER STROBE,FLASHNI,78.28,
INCITE,ANC,ROSHNI RED 9-28 VOLT DC SOUNDER,ROSHNI,46.35,
INCITE,ANC,8 INCH BELL,B8-24,44.1,
INCITE,ANC,BACKBOX FOR 8 INCH BELL,BBX-4,12.6,
INCITE,ANC,DOOR RELEASE SWITCH,DRS004,30.4,
INCITE,ANC,DOOR RELEASE SURFACE MOUNTING BLOCK,DRS004MB,5,
INCITE,MDH,WALL MOUNT DOOR HOLDER - 100 KG,DH1360,101.85,DIE CAST ALUMINIUM AND STEEL - CHEAPER FORM FIRESENSE
INCITE,MDH,WALL MOUNT DOOR HOLDER - 25/50 KG,DH1350,65.26,DIE CAST ALUMINIUM AND STEEL
INCITE,MDH,BLACK FLOOR MOUNT DOOR HOLDER 1369,DH1369,80.63,FLOOR MOUNT TOMBSTONE STYLE
INCITE,MDH,DOOR HOLDER ANVIL 1350,DHANVIL,31.44,
INCITE,MDH,150MM POST FLOOR/WALL MOUNT DOOR HOLDER,DH150,101.85,
